HOSTID,HOSTNAME,DOMAINNAME,FQDN,FQDNDYNAMIC,DESCRIPTION,HOSTTYPE,MANAGEDBY,CPU,MEM,SCOMOS,VIRTUALOS,MANUALOS,VERSION,ARCH,DTAP,CONTRACT,CUSTOMER,STATE,CIMAPPING,HWHOST,HWSERIAL,LOCATION,PATCHINGTOOL,BACKUPTOOL,MONITORINGTOOL,ANTIVIRUSTOOL,INSCCM,HIROAUTOMATIONENABLED,CREATIONDATE
"24681","10.186.1.217","","10.186.1.217","","Backup Library IBM TS3100","Hardware Machine","B&S","0","0","","","Appliance","SP0","x64","P","Atlas DCCOP APAC","Atlas Copco","Disposed","1","","","Atlas Copco - Shanghai","Patching Exception: appliance","Backup exception: backup library","Spectrum","Antivirus Exception: Not Available","","False","08/11/2017 12:07:51"
"24682","10.86.16.44","","10.86.16.44","","Backup Library HP MSL-2024 Shanghai","Hardware Machine","B&S","0","0","","","Appliance","SP0","x64","P","Atlas DCCOP APAC","Atlas Copco","Disposed","1","","","Atlas Copco - Shanghai","BBSA","Backup exception: Missing Bakup Tool:Backup Exec","Spectrum","Antivirus Exception: Not Available","","False","08/11/2017 12:07:52"
"34918","AACOLIBPBKP501","apac.group.atlascopco.com","AACOLIBPBKP501.apac.group.atlascopco.com","","Avamar backup server","Hardware Machine","CEB Backup","1","1","","","Appliance","Avamar v19.1.0-38_HF318942","x64","P","Atlas DCCOP APAC","Atlas Copco","Up","1","","","Atos - DC Singapore IBP","Manual","Avamar","Monitoring Exception: own monitoring","Antivirus Exception: Appliance","","False","16/12/2020 11:49:43"
"29692","ACASCAAS0007","nasa.group.atlascopco.com","ACASCAAS0007.nasa.group.atlascopco.com","","Unknown Server for CEB backup only","Vmachine with HW Failover","AHS","1","8192","","","Windows 2008 R2 Standard","SP0","x64","P","Atlas Servers with limited services NASA","Atlas Copco","Disposed","1","","","Atlas Copco - Canada Saint-Laurent, QC","Patching Exception: Not patched by Atos","Avamar","Monitoring Exception: Not monitored by Atos","Antivirus Exception: Not under control of Atos","","False","19/06/2018 16:50:57"
"32859","ACASCAAS0008","nasa.group.atlascopco.com","ACASCAAS0008.nasa.group.atlascopco.com","ACASCAAS0008.nasa.group.atlascopco.com","SolidWorks License Server","Vmachine with HW Failover","AHS","2","8192","Microsoft Windows Server 2016 Standard","Microsoft Windows Server 2016 or later (64-bit)","Windows 2016 Standard","SP0","x64","P","Atlas DCCOP NASA","Atlas Copco","Up","1","usarl1hci1esx015.asn.nam","","Atos - Arlington","SCCM","Avamar","SCOM","MS Defender – ATP – Atos Managed","True","True","12/09/2019 14:16:37"
"31331","ACASCAAS0009","nasa.group.atlascopco.com","ACASCAAS0009.nasa.group.atlascopco.com","","SCCM scanned","Vmachine with HW Failover","Customer","2","8191","","","Windows 2003 Standard","SP2","x64","P","Atlas not in scope","Atlas Copco","Disposed","1","","","Atlas Copco - Mississauga","Patching Exception: TBD","Backup exception: TBD","Monitoring Exception: TBD","Antivirus Exception: TBD","True","False","28/11/2018 15:55:47"
"29693","ACASCAAS008","nasa.group.atlascopco.com","ACASCAAS008.nasa.group.atlascopco.com","","Unknown Server for CEB backup only","Vmachine with HW Failover","AHS","1","8192","","","Windows 2012 R2 Standard","SP0","x64","P","Atlas Servers with limited services NASA","Atlas Copco","Disposed","1","","","Atlas Copco - Canada Saint-Laurent, QC","Patching Exception: Not patched by Atos","Avamar","Monitoring Exception: Not monitored by Atos","Antivirus Exception: Not under control of Atos","","False","19/06/2018 16:50:57"
"29694","ACASCABEX001","nasa.group.atlascopco.com","ACASCABEX001.nasa.group.atlascopco.com","","Unknown Server for CEB backup only","Vmachine with HW Failover","AHS","1","8192","","","Windows 2012 R2 Standard","SP0","x64","P","Atlas Servers with limited services NASA","Atlas Copco","Disposed","1","","","Atlas Copco - Canada Saint-Laurent, QC","Patching Exception: Not patched by Atos","Avamar","Monitoring Exception: Not monitored by Atos","Antivirus Exception: Not under control of Atos","","False","19/06/2018 16:50:58"
"23426","ACASCADC002","nasa.group.atlascopco.com","ACASCADC002.nasa.group.atlascopco.com","","Domain Controller & DNS NASA region","Vmachine with HW Failover","AHS","2","12288","","","Windows 2016 Standard","SP0","x64","P","Atlas DCCOP NASA","Atlas Copco","Disposed","3","","","Atlas Copco - Dollard-des-Ormeaux","SCCM","Backup exception: No backup required - domain controller","SCOM","McAfee","True","False","13/10/2017 08:04:00"
"32047","ACASCADC002D","nasa.group.atlascopco.com","ACASCADC002D.nasa.group.atlascopco.com","","Demoted Domain controller - To be decommissioned","Vmachine with HW Failover","AHS","2","8192","","","Windows 2012 R2 Standard","SP0","x64","P","Atlas DCCOP EMEA","Atlas Copco","Disposed","1","","","Atlas Copco - Canada Saint-Laurent, QC","Patching Exception: Being decommisionned - Tool unknown","Backup exception: Being decommisionned - Tool unknown","Monitoring Exception: Being decommisionned - Tool unknown","Antivirus Exception: Being decommisionned - Tool unknown","True","False","24/04/2019 16:47:46"
"29716","ACASCAEDM001","nasa.group.atlascopco.com","ACASCAEDM001.nasa.group.atlascopco.com","","Unknown Server for CEB backup only","Vmachine with HW Failover","AHS","1","8192","","","Windows 2012 R2 Standard","SP0","x64","P","Atlas Servers with limited services NASA","Atlas Copco","Disposed","1","","","Atlas Copco - Canada Edmonton","Patching Exception: Not patched by Atos","Avamar","Monitoring Exception: Not monitored by Atos","Antivirus Exception: Not under control of Atos","","False","19/06/2018 16:51:05"
"29695","ACASCAFS003","nasa.group.atlascopco.com","ACASCAFS003.nasa.group.atlascopco.com","","Unknown Server for CEB backup only","Vmachine with HW Failover","AHS","1","8192","","","Windows 2012 R2 Standard","SP0","x64","P","Atlas Servers with limited services NASA","Atlas Copco","Disposed","1","","","Atlas Copco - Canada Saint-Laurent, QC","Patching Exception: Not patched by Atos","Avamar","Monitoring Exception: Not monitored by Atos","Antivirus Exception: Not under control of Atos","","False","19/06/2018 16:50:58"
"29717","ACASCAPR0001","nasa.group.atlascopco.com","ACASCAPR0001.nasa.group.atlascopco.com","","Unknown Server for CEB backup only","Vmachine with HW Failover","AHS","1","8192","","","Windows 2003 Standard","SP0","x64","P","Atlas Servers with limited services NASA","Atlas Copco","Disposed","1","","","Atlas Copco - Canada Saint-Laurent, QC","Patching Exception: Not patched by Atos","Avamar","Monitoring Exception: Not monitored by Atos","Antivirus Exception: Not under control of Atos","","False","19/06/2018 16:51:05"
"31190","ACASUSESX0002","nasa.group.atlascopco.com","ACASUSESX0002.nasa.group.atlascopco.com","","ESX Host","Hardware Machine","Customer","8","36851","","","ESXi 5","SP0","x64","P","Atlas DCCOP NASA","Atlas Copco","Up","1","acasusesx0002","127BJQ1","Atlas Copco - Canada Saint-Laurent, QC","Patching Exception: ESX Host","Backup exception: ESX Host","Monitoring Exception: ESX Host","Symantec Endpoint Protection (SEP)","","False","25/10/2018 08:25:08"
"31191","ACASUSESX0003","nasa.group.atlascopco.com","ACASUSESX0003.nasa.group.atlascopco.com","","ESX Host","Hardware Machine","Customer","8","49139","","","ESXi 5","SP0","x64","P","Atlas DCCOP NASA","Atlas Copco","Up","1","acasusesx0003","8VFQNS1","Atlas Copco - Canada Saint-Laurent, QC","Patching Exception: ESX Host","Backup exception: ESX Host","Monitoring Exception: ESX Host","Symantec Endpoint Protection (SEP)","","False","25/10/2018 08:25:09"
