Hostnames,FQDN,IP
ACCSBEAP4000,ACCSBEAP4000.ACDMZPRD.local,"[['10.26.8.105'], ['10.26.8.105'], ['10.26.8.105']]"
ACCSBEAP4001,ACCSBEAP4001.ACDMZPRD.local,"[['10.26.8.106'], ['10.26.8.106'], ['10.26.8.106']]"
ACCSBEAP4002,ACCSBEAP4002.acdmzstg.local,"[['10.26.8.107'], ['10.26.8.107'], ['10.26.8.107']]"
ACPSBEAPACPR03,ACPSBEAPACPR03.acsis.local,"[['10.26.18.24'], ['10.26.18.24'], ['10.26.18.24'], ['10.26.18.24']]"
ACPSBEAPSYPR11,ACPSBEAPSYPR11.emea.group.atlascopco.com,"[['10.199.16.220'], ['192.168.16.220'], ['10.26.14.82'], ['10.26.14.84'], ['10.26.14.85'], ['10.199.16.220'], ['192.168.16.220'], ['10.26.14.82', '10.26.14.84', '10.26.14.85'], ['10.126.173.26'], ['192.168.16.220'], ['10.199.16.220'], ['10.126.173.26'], ['10.26.14.85'], ['10.26.14.84'], ['10.26.14.82']]"
ACPSBEAPSYPR12,ACPSBEAPSYPR12.emea.group.atlascopco.com,"[['192.168.16.221'], ['10.26.14.83'], ['10.26.14.86'], ['10.199.16.221'], ['10.199.16.221'], ['192.168.16.221'], ['10.26.14.83', '10.26.14.86'], ['10.126.173.27'], ['10.26.14.86'], ['10.26.14.83'], ['10.126.173.27'], ['192.168.16.221'], ['10.199.16.221']]"
ACPSBEAPSYST12,ACPSBEAPSYST12.emea.group.atlascopco.com,"[['10.199.18.189'], ['10.26.17.155'], ['10.26.17.158'], ['192.168.16.179'], ['fe80::c3b:822e:9319:eba0', '10.26.17.155'], ['10.126.173.28'], ['10.126.173.28'], ['10.26.17.155'], ['fe80::c3b:822e:9319:eba0']]"
ACPSBEAPSYST13,ACPSBEAPSYST13.emea.group.atlascopco.com,"[['10.199.18.190'], ['10.26.17.156'], ['10.26.17.157'], ['192.168.16.180'], ['fe80::d404:6ea:60af:1699', '10.26.17.156', '10.26.17.157', '10.26.17.158'], ['10.126.173.29'], ['10.26.17.158'], ['10.26.17.157'], ['10.26.17.156'], ['fe80::d404:6ea:60af:1699'], ['10.126.173.29']]"
ACPSBEDBSYPRC1,ACPSBEDBSYPRC1.emea.group.atlascopco.com,"[['10.212.4.86'], ['10.199.16.218'], ['192.168.16.218'], ['10.26.14.77'], ['10.26.18.42'], ['10.26.14.89'], ['10.26.14.88'], ['10.26.14.79'], ['10.199.16.218'], [], [], [], [], ['192.168.16.218'], ['10.26.18.42'], ['10.26.14.89'], ['10.26.14.88'], ['10.26.14.79'], ['10.26.14.77']]"
ACPSBEDBSYPRC2,ACPSBEDBSYPRC2.emea.group.atlascopco.com,"[['10.212.4.94'], ['10.199.16.219'], ['192.168.16.219'], ['10.26.14.78'], ['10.26.18.43'], ['10.26.14.87'], ['10.26.14.80'], [], [], ['10.199.16.219'], ['10.26.18.43'], [], ['10.26.14.87'], ['10.26.14.80'], ['10.26.14.78'], ['192.168.16.219'], [], ['169.254.0.2'], ['fe80::353d:bf7a:ae5f:2084']]"
